Episode,Reward,Steps,Entropy
1,-7.0,99,4.399563312530518
2,-19.0,99,4.399900913238525
3,-11.0,99,4.398797988891602
4,-19.0,99,4.39593505859375
5,-7.0,99,4.394996643066406
6,-3.0,99,4.3927202224731445
7,-3.0,99,4.390914440155029
8,-6.0,99,4.3864946365356445
9,-19.0,99,4.390350341796875
10,-17.0,99,4.383691787719727
11,-13.0,99,4.386622428894043
12,-5.0,99,4.380336284637451
13,-5.0,99,4.376094818115234
14,-1.0,99,4.366077899932861
15,-10.0,99,4.372771263122559
16,-7.0,99,4.365310192108154
17,-12.0,99,4.359587669372559
18,-13.0,99,4.369317531585693
19,-6.0,99,4.360495567321777
20,-7.0,99,4.357762813568115
21,-7.0,99,4.350459098815918
22,-6.0,99,4.348598003387451
23,-8.0,99,4.349325180053711
24,-6.0,99,4.347262382507324
25,-9.0,99,4.348639488220215
26,-3.0,99,4.314714431762695
27,-7.0,99,4.345644474029541
28,-14.0,99,4.328222751617432
29,-2.0,99,4.321183681488037
30,-3.0,99,4.32001256942749
31,-8.0,99,4.3406453132629395
32,-5.0,99,4.329767227172852
33,-8.0,99,4.335079193115234
34,-6.0,99,4.336520671844482
35,-7.0,99,4.3343000411987305
36,-5.0,99,4.324434757232666
37,-6.0,99,4.3215765953063965
38,-5.0,99,4.332339286804199
39,-4.0,99,4.325903415679932
40,-5.0,99,4.326381683349609
41,-1.0,99,4.310237407684326
42,-3.0,99,4.322254180908203
43,-3.0,99,4.311429500579834
44,-2.0,99,4.300109386444092
45,-7.0,99,4.324979305267334
46,-7.0,99,4.3126373291015625
47,-2.0,99,4.298979759216309
48,-4.0,99,4.31329345703125
49,-5.0,99,4.312088966369629
50,-7.0,99,4.317383766174316
51,-5.0,99,4.290459632873535
52,-8.0,99,4.278569221496582
53,-3.0,99,4.292341709136963
54,-9.0,99,4.274496078491211
55,-1.0,99,4.305880069732666
56,-1.0,99,4.296359062194824
57,-3.0,99,4.295259475708008
58,-7.0,99,4.2960991859436035
59,-1.0,99,4.277596473693848
60,-7.0,99,4.276706218719482
61,-1.0,99,4.279254913330078
62,-3.0,99,4.308030128479004
63,-3.0,99,4.29734468460083
64,-4.0,99,4.280123710632324
65,-3.0,99,4.2991437911987305
66,-11.0,99,4.298591136932373
67,-5.0,99,4.319670677185059
68,-4.0,99,4.301424980163574
69,-5.0,99,4.285896301269531
70,-11.0,99,4.294116020202637
71,-9.0,99,4.313598155975342
72,-3.0,99,4.2848429679870605
73,-1.0,99,4.307060241699219
74,-1.0,99,4.3244757652282715
75,-6.0,99,4.2814226150512695
76,-5.0,99,4.302261829376221
77,-11.0,99,4.312500476837158
78,-6.0,99,4.2939043045043945
79,-3.0,99,4.327699661254883
80,-4.0,99,4.3127121925354
81,-5.0,99,4.283834457397461
82,-2.0,99,4.2787251472473145
83,-1.0,99,4.283154010772705
84,-5.0,99,4.291604042053223
85,-3.0,99,4.2627272605896
86,-4.0,99,4.284529685974121
87,-4.0,99,4.26972770690918
88,-2.0,99,4.288161754608154
89,-1.0,99,4.297876834869385
90,-5.0,99,4.254024505615234
91,-2.0,99,4.275062561035156
92,-3.0,99,4.253599166870117
93,-4.0,99,4.257174968719482
94,-3.0,99,4.286870002746582
95,-4.0,99,4.294050216674805
96,-3.0,99,4.3165202140808105
97,-8.0,99,4.303806304931641
98,-5.0,99,4.324868679046631
99,-3.0,99,4.327653884887695
100,0.0,99,4.292601108551025
101,-4.0,99,4.325823783874512
102,-10.0,99,4.317629814147949
103,-5.0,99,4.302236557006836
104,-4.0,99,4.268673419952393
105,-3.0,99,4.334648132324219
106,-2.0,99,4.300120830535889
107,-7.0,99,4.305652141571045
108,-6.0,99,4.304912090301514
109,-5.0,99,4.303657054901123
110,-3.0,99,4.278446197509766
111,-8.0,99,4.310059070587158
112,-1.0,99,4.263711452484131
113,-9.0,99,4.282904624938965
114,-6.0,99,4.281106472015381
115,-2.0,99,4.249476909637451
116,-7.0,99,4.2819671630859375
117,-2.0,99,4.2948832511901855
118,-4.0,99,4.295044422149658
119,-6.0,99,4.308882713317871
120,-5.0,99,4.26591157913208
121,-5.0,99,4.25405740737915
122,-2.0,99,4.273088455200195
123,-2.0,99,4.255349159240723
124,-3.0,99,4.265769004821777
125,-2.0,99,4.292680263519287
126,-1.0,99,4.29339075088501
127,-2.0,99,4.269428730010986
128,-6.0,99,4.303084850311279
129,-3.0,99,4.294568061828613
130,-5.0,99,4.287598133087158
131,0.0,99,4.277888298034668
132,-5.0,99,4.303151607513428
133,-5.0,99,4.297439098358154
134,-7.0,99,4.312346935272217
135,-8.0,99,4.291995048522949
136,-1.0,99,4.278029441833496
137,-1.0,99,4.2707200050354
138,-3.0,99,4.289600849151611
139,-5.0,99,4.302441596984863
140,-4.0,99,4.310345649719238
141,-11.0,99,4.291517734527588
142,-6.0,99,4.3097310066223145
143,-4.0,99,4.2959065437316895
144,-7.0,99,4.318858623504639
145,-5.0,99,4.305011749267578
146,-2.0,99,4.3216047286987305
147,-3.0,99,4.301504135131836
148,-5.0,99,4.30064582824707
149,-4.0,99,4.321115493774414
150,-2.0,99,4.30163049697876
151,-6.0,99,4.29982852935791
152,-5.0,99,4.286518573760986
153,-7.0,99,4.3026957511901855
154,-4.0,99,4.295717716217041
155,-4.0,99,4.2998785972595215
156,-10.0,99,4.2989606857299805
157,-4.0,99,4.306100845336914
158,-3.0,99,4.279910564422607
159,-4.0,99,4.263448715209961
160,-3.0,99,4.2653374671936035
161,-8.0,99,4.237250328063965
162,-3.0,99,4.267751693725586
163,0.0,99,4.256359577178955
164,-3.0,99,4.2677693367004395
165,0.0,99,4.24385404586792
166,-4.0,99,4.233034133911133
167,-6.0,99,4.2836079597473145
168,-1.0,99,4.252216339111328
169,-1.0,99,4.257898330688477
170,-1.0,99,4.220364093780518
171,-1.0,99,4.248064041137695
172,-1.0,99,4.268393516540527
173,-2.0,99,4.282707214355469
174,-2.0,99,4.293557167053223
175,0.0,99,4.296058654785156
176,0.0,99,4.278501510620117
177,-4.0,99,4.256259918212891
178,-1.0,99,4.278955459594727
179,-3.0,99,4.25020694732666
180,-1.0,99,4.283597946166992
181,-2.0,99,4.265922546386719
182,-2.0,99,4.272939205169678
183,-1.0,99,4.266110420227051
184,-4.0,99,4.293675899505615
185,-8.0,99,4.282036781311035
186,-1.0,99,4.274706840515137
187,-2.0,99,4.228672027587891
188,-5.0,99,4.270259857177734
189,-3.0,99,4.252838134765625
190,-2.0,99,4.232509613037109
191,-3.0,99,4.264692783355713
192,-1.0,99,4.271183013916016
193,-1.0,99,4.2866973876953125
194,-3.0,99,4.27120304107666
195,-1.0,99,4.269800662994385
196,-2.0,99,4.237110137939453
197,0.0,99,4.2714762687683105
198,-2.0,99,4.195796489715576
199,-1.0,99,4.198362350463867
200,-1.0,99,4.204769134521484
201,-4.0,99,4.213846683502197
202,-1.0,99,4.242669105529785
203,-2.0,99,4.265021324157715
204,-1.0,99,4.244239807128906
205,-3.0,99,4.266814708709717
206,-5.0,99,4.25142765045166
207,-7.0,99,4.300536155700684
208,-1.0,99,4.274573802947998
209,-3.0,99,4.295951843261719
210,-1.0,99,4.274625778198242
211,-4.0,99,4.264524936676025
212,-2.0,99,4.291629791259766
213,-2.0,99,4.301761150360107
214,-2.0,99,4.286656856536865
215,-2.0,99,4.287504196166992
216,-6.0,99,4.296529769897461
217,0.0,99,4.278696537017822
218,-2.0,99,4.2581634521484375
219,0.0,99,4.268381118774414
220,-1.0,99,4.259799480438232
221,-8.0,99,4.282320499420166
222,-5.0,99,4.286445140838623
223,0.0,99,4.286028861999512
224,-1.0,99,4.258103370666504
225,-3.0,99,4.286855697631836
226,-5.0,99,4.290220737457275
227,-5.0,99,4.274280548095703
228,-2.0,99,4.289079189300537
229,-4.0,99,4.301121711730957
230,-2.0,99,4.280933380126953
231,-6.0,99,4.313862323760986
232,-6.0,99,4.332180023193359
233,-1.0,99,4.279971122741699
234,-3.0,99,4.3130059242248535
235,-2.0,99,4.2812395095825195
236,-7.0,99,4.288681983947754
237,-2.0,99,4.293507099151611
238,-1.0,99,4.316840648651123
239,-3.0,99,4.311595916748047
240,-9.0,99,4.315694808959961
241,-2.0,99,4.298933982849121
242,-2.0,99,4.298651218414307
243,-1.0,99,4.308670997619629
244,-3.0,99,4.307206630706787
245,-2.0,99,4.301150798797607
246,-5.0,99,4.280149936676025
247,-1.0,99,4.309422492980957
248,-1.0,99,4.278240203857422
249,-4.0,99,4.2845282554626465
250,-3.0,99,4.305186748504639
251,0.0,99,4.269762992858887
